j_upper,j_lower,accuracy,num_changed,normalized_delta
0,0,10.0,10893070,-0.8927843894070977
0,1,10.0,10667650,-0.8927843894070977
0,2,10.0,10222325,-0.8927843894070977
0,3,10.0,9334004,-0.8927843894070977
0,4,10.0,7557804,-0.8927843894070977
1,0,10.0,10893070,-0.8927843894070977
1,1,10.0,10667642,-0.8927843894070977
1,2,10.0,10222299,-0.8927843894070977
1,3,10.0,9333957,-0.8927843894070977
1,4,10.0,7557680,-0.8927843894070977
2,0,10.0,10890550,-0.8927843894070977
2,1,10.0,10660798,-0.8927843894070977
2,2,10.0,10205970,-0.8927843894070977
2,3,10.0,9298000,-0.8927843894070977
2,4,10.0,7482508,-0.8927843894070977
3,0,10.0,10802843,-0.8927843894070977
3,1,10.0,10456745,-0.8927843894070977
3,2,10.0,9760515,-0.8927843894070977
3,3,10.0,8367743,-0.8927843894070977
3,4,10.0,5578649,-0.8927843894070977
4,0,10.0,10466768,-0.8927843894070977
4,1,10.0,9773506,-0.8927843894070977
4,2,9.85,8378838,-0.8943926235659913
4,3,90.3,5588115,-0.03184303634609198
4,4,93.27,0,0.0
