j_upper,j_lower,accuracy,num_changed,normalized_delta
0,0,9.8,1199878,-0.9010600706713782
0,1,11.35,1199875,-0.8854114083796063
0,2,11.35,1199874,-0.8854114083796063
0,3,11.35,1199864,-0.8854114083796063
0,4,11.35,1199845,-0.8854114083796063
1,0,94.93,1199457,-0.04159515396264503
1,1,94.58,1198968,-0.045128722867238756
1,2,94.6,1198137,-0.04492680464411916
1,3,94.56,1196164,-0.04533064109035836
1,4,95.17,1192816,-0.03917213528520944
2,0,62.07,1191524,-0.37334679454820796
2,1,58.34,1182441,-0.41100454316002016
2,2,58.22,1164854,-0.412216052498738
2,3,57.23,1129549,-0.42221100454316
2,4,66.62,1062233,-0.3274103987884906
3,0,61.98,1171932,-0.37425542655224636
3,1,56.7,1113657,-0.4275618374558303
3,2,56.03,1034370,-0.43432609793033816
3,3,55.31,872548,-0.4415951539626451
3,4,64.18,568562,-0.35204442200908626
4,0,98.93,1145226,-0.0012115093387177218
4,1,98.99,1046332,-0.0006057546693589327
4,2,99.02,898511,-0.00030287733467946633
4,3,99.02,599392,-0.00030287733467946633
4,4,99.05,0,0.0
