j_upper,j_lower,accuracy,num_changed,normalized_delta
0,0,9.8,1141119,-0.9010600706713782
0,1,10.32,1123200,-0.8958101968702674
0,2,10.32,1074237,-0.8958101968702674
0,3,10.32,975159,-0.8958101968702674
0,4,10.32,776072,-0.8958101968702674
1,0,9.8,1141119,-0.9010600706713782
1,1,11.29,1123196,-0.886017163048965
1,2,11.27,1074226,-0.8862190812720848
1,3,11.54,975140,-0.8834931852599697
1,4,11.51,776035,-0.8837960625946492
2,0,9.97,1140855,-0.8993437657748612
2,1,11.14,1122507,-0.8875315497223625
2,2,11.31,1072623,-0.8858152448258455
2,3,11.27,971792,-0.8862190812720848
2,4,11.27,768969,-0.8862190812720848
3,0,12.46,1134366,-0.8742049469964664
3,1,18.51,1107660,-0.8131246845027763
3,2,32.09,1040335,-0.6760222110045431
3,3,46.76,904476,-0.5279151943462898
3,4,58.04,631320,-0.41403331650681474
4,0,64.13,1110067,-0.35254921756688545
4,1,98.46,1055411,-0.005956587582029313
4,2,98.91,901861,-0.0014134275618374616
4,3,98.98,600490,-0.000706713780918659
4,4,99.05,0,0.0
