j_upper,j_lower,accuracy,num_changed,normalized_delta
0,0,9.8,1199882,-0.9010600706713782
0,1,11.35,1199878,-0.8854114083796063
0,2,11.35,1199871,-0.8854114083796063
0,3,11.35,1199863,-0.8854114083796063
0,4,11.35,1199845,-0.8854114083796063
1,0,97.63,1199618,-0.014336193841494212
1,1,96.9,1199193,-0.021706208985360843
1,2,96.04,1198279,-0.03038869257950521
1,3,95.56,1196534,-0.03523472993437653
1,4,95.17,1192816,-0.03917213528520944
2,0,98.43,1193393,-0.006259464916708635
2,1,96.62,1185035,-0.024533064109035767
2,2,87.62,1167594,-0.11539626451287222
2,3,74.96,1132566,-0.24321049974760225
2,4,66.62,1062233,-0.3274103987884906
3,0,98.7,1175583,-0.0035335689045935823
3,1,97.54,1147633,-0.015244825845532469
3,2,88.43,1061408,-0.10721857647652691
3,3,73.61,895896,-0.2568399798081777
3,4,64.18,568562,-0.35204442200908626
4,0,98.93,1145226,-0.0012115093387177218
4,1,98.99,1046332,-0.0006057546693589327
4,2,99.02,898511,-0.00030287733467946633
4,3,99.02,599392,-0.00030287733467946633
4,4,99.05,0,0.0
